epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,17785.8,0.5871,0.37131,0.96577,0.96467,0.97907,0.98098,0.91017,0.42987,0.30521,0.8489,0.000420875,0.000420875,0.000420875
136,17917,0.63387,0.3901,0.99002,0.96297,0.98188,0.98269,0.90167,0.42639,0.30668,0.84551,0.000414688,0.000414688,0.000414688
137,18047.5,0.61767,0.37706,0.98429,0.96758,0.97994,0.98261,0.9106,0.42745,0.29797,0.85007,0.0004085,0.0004085,0.0004085
138,18177.5,0.62266,0.38881,0.99411,0.97366,0.98156,0.98355,0.91054,0.41259,0.28531,0.84455,0.000402312,0.000402312,0.000402312
139,18309.6,0.62915,0.38604,0.99474,0.97986,0.98157,0.98404,0.90411,0.42383,0.28758,0.84752,0.000396125,0.000396125,0.000396125
140,18441.6,0.60195,0.38156,0.99333,0.98704,0.98358,0.98468,0.92194,0.40449,0.27649,0.83924,0.000389938,0.000389938,0.000389938
141,18572.7,0.61141,0.38118,0.9783,0.98453,0.98402,0.98504,0.91188,0.41202,0.29022,0.84045,0.00038375,0.00038375,0.00038375
142,18704,0.61017,0.36761,0.98427,0.97803,0.98305,0.98498,0.90647,0.4248,0.28089,0.84781,0.000377563,0.000377563,0.000377563
143,18835.4,0.62337,0.38463,0.98902,0.9841,0.9838,0.9857,0.90853,0.41399,0.27062,0.84359,0.000371375,0.000371375,0.000371375
144,18965.7,0.58854,0.37216,0.97695,0.98267,0.9838,0.98535,0.90304,0.41167,0.26475,0.84422,0.000365188,0.000365188,0.000365188
145,19106.9,0.61456,0.37851,0.98896,0.96967,0.95112,0.98142,0.88432,0.46536,0.29048,0.86463,0.000359,0.000359,0.000359
146,19227.7,0.60317,0.37088,0.98349,0.97855,0.9588,0.98371,0.91365,0.40454,0.27218,0.84323,0.000352812,0.000352812,0.000352812
147,19361.2,0.60936,0.38017,0.99589,0.97831,0.98137,0.98451,0.88353,0.4731,0.28619,0.87118,0.000346625,0.000346625,0.000346625
148,19494.7,0.599,0.36175,0.97709,0.98392,0.97703,0.98452,0.90522,0.4169,0.27446,0.84797,0.000340438,0.000340438,0.000340438
149,19626.3,0.57115,0.36056,0.97399,0.97893,0.98182,0.99179,0.89646,0.43754,0.26303,0.85242,0.00033425,0.00033425,0.00033425
150,19759.4,0.57182,0.36295,0.97891,0.97034,0.98383,0.98821,0.89746,0.41999,0.2754,0.84728,0.000328063,0.000328063,0.000328063
151,19891.9,0.57766,0.35866,0.98814,0.97278,0.98469,0.98422,0.88989,0.45045,0.28194,0.86459,0.000321875,0.000321875,0.000321875
152,20026.7,0.57822,0.35694,0.96968,0.97973,0.98271,0.98432,0.90341,0.42463,0.27192,0.84966,0.000315687,0.000315687,0.000315687
153,20163.6,0.57063,0.35649,0.9762,0.98359,0.98323,0.99038,0.90844,0.42561,0.27516,0.85079,0.0003095,0.0003095,0.0003095
154,20300.8,0.56663,0.34994,0.95478,0.98218,0.9838,0.99073,0.8876,0.4658,0.28955,0.87348,0.000303313,0.000303313,0.000303313
